1. /Users/manusaxena/Documents/InformationRetreival/cacm/CACM-0020.html           score=0.37781322
2. /Users/manusaxena/Documents/InformationRetreival/cacm/CACM-1410.html           score=0.36397845
3. /Users/manusaxena/Documents/InformationRetreival/cacm/CACM-0268.html           score=0.33715743
4. /Users/manusaxena/Documents/InformationRetreival/cacm/CACM-1696.html           score=0.2889921
5. /Users/manusaxena/Documents/InformationRetreival/cacm/CACM-1194.html           score=0.28304666
6. /Users/manusaxena/Documents/InformationRetreival/cacm/CACM-0942.html           score=0.23613326
7. /Users/manusaxena/Documents/InformationRetreival/cacm/CACM-3120.html           score=0.23613326
8. /Users/manusaxena/Documents/InformationRetreival/cacm/CACM-3043.html           score=0.19549726
9. /Users/manusaxena/Documents/InformationRetreival/cacm/CACM-0412.html           score=0.17241238
10. /Users/manusaxena/Documents/InformationRetreival/cacm/CACM-1540.html           score=0.16857871
11. /Users/manusaxena/Documents/InformationRetreival/cacm/CACM-2342.html           score=0.14778206
12. /Users/manusaxena/Documents/InformationRetreival/cacm/CACM-2931.html           score=0.14167997
13. /Users/manusaxena/Documents/InformationRetreival/cacm/CACM-2740.html           score=0.13768779
14. /Users/manusaxena/Documents/InformationRetreival/cacm/CACM-2882.html           score=0.13623217
15. /Users/manusaxena/Documents/InformationRetreival/cacm/CACM-0293.html           score=0.13557789
16. /Users/manusaxena/Documents/InformationRetreival/cacm/CACM-0927.html           score=0.13557789
17. /Users/manusaxena/Documents/InformationRetreival/cacm/CACM-2844.html           score=0.13557789
18. /Users/manusaxena/Documents/InformationRetreival/cacm/CACM-1749.html           score=0.127983
19. /Users/manusaxena/Documents/InformationRetreival/cacm/CACM-3141.html           score=0.127983
20. /Users/manusaxena/Documents/InformationRetreival/cacm/CACM-2255.html           score=0.123151705
21. /Users/manusaxena/Documents/InformationRetreival/cacm/CACM-2376.html           score=0.123151705
22. /Users/manusaxena/Documents/InformationRetreival/cacm/CACM-2504.html           score=0.123151705
